iter	Passed	Remaining
539	57462	48949
540	57562	48837
541	57665	48728
542	57767	48618
543	57869	48508
544	57972	48398
545	58074	48288
546	58172	48175
547	58273	48065
548	58372	47952
549	58474	47842
550	58577	47734
551	58676	47621
552	58775	47509
553	58875	47398
554	58978	47289
555	59082	47181
556	59186	47073
557	59298	46970
558	59406	46866
559	59513	46760
560	59618	46653
561	59725	46547
562	59828	46439
563	59929	46328
564	60030	46218
565	60133	46109
566	60236	46001
567	60343	45895
568	60459	45796
569	60571	45694
570	60683	45592
571	60794	45489
572	60904	45386
573	61015	45283
574	61127	45181
575	61231	45073
576	61330	44961
577	61436	44855
578	61537	44745
579	61633	44630
580	61729	44517
581	61834	44410
582	61948	44309
583	62059	44206
584	62177	44109
585	62273	43995
586	62368	43881
587	62465	43768
588	62567	43659
589	62669	43550
590	62770	43440
591	62870	43329
592	62976	43223
593	63079	43115
594	63181	43006
595	63282	42895
596	63388	42789
597	63493	42683
598	63599	42576
599	63701	42467
600	63805	42360
601	63925	42263
602	64039	42161
603	64139	42051
604	64241	41942
605	64337	41829
606	64449	41727
607	64559	41623
608	64655	41511
609	64757	41402
610	64866	41297
611	64972	41191
612	65101	41099
613	65212	40996
614	65324	40894
615	65422	40782
616	65522	40672
617	65626	40565
618	65724	40454
619	65826	40345
620	65931	40238
621	66035	40131
622	66132	40019
623	66232	39909
624	66329	39797
625	66424	39684
626	66523	39574
627	66625	39465
628	66722	39354
629	66825	39246
630	66925	39137
631	67026	39028
632	67127	38919
633	67226	38808
634	67326	38699
635	67426	38590
636	67523	38479
637	67622	38369
638	67728	38263
639	67832	38155
640	67931	38045
641	68033	37937
642	68131	37827
643	68230	37717
644	68383	37637
645	68545	37562
646	68711	37488
647	68849	37399
648	69003	37319
649	69132	37224
650	69329	37167
651	69445	37066
652	69552	36959
653	69656	36851
654	69758	36743
655	69859	36633
656	69965	36526
657	70061	36414
658	70162	36305
659	70264	36196
660	70365	36087
661	70470	35980
662	70655	35913
663	70798	35825
664	70913	35723
665	71012	35612
666	71111	35502
667	71211	35392
668	71306	35280
669	71406	35170
670	71507	35060
671	71605	34950
672	71706	34841
673	71808	34732
674	71907	34622
675	72009	34513
676	72107	34402
677	72214	34296
678	72319	34189
679	72418	34079
680	72521	33971
681	72623	33862
682	72728	33755
683	72827	33645
684	72931	33537
685	73035	33430
686	73141	33323
687	73244	33215
688	73343	33105
689	73440	32995
690	73539	32885
691	73640	32776
692	73740	32667
693	73841	32558
694	73947	32451
695	74048	32342
696	74151	32235
697	74253	32126
698	74352	32017
699	74452	31908
700	74549	31798
701	74652	31690
702	74755	31582
703	74854	31472
704	74956	31364
705	75062	31258
706	75168	31152
707	75268	31042
708	75366	30933
709	75465	30823
710	75567	30716
711	75668	30607
712	75774	30501
713	75878	30393
714	75978	30285
715	76079	30176
716	76195	30074
717	76299	29967
718	76395	29856
719	76499	29749
720	76604	29643
721	76710	29536
722	76815	29430
723	76920	29323
724	77022	29215
725	77121	29106
726	77222	28998
727	77317	28887
728	77414	28778
729	77514	28669
730	77617	28562
731	77738	28461
732	77845	28355
733	77945	28247
734	78043	28138
735	78145	28030
736	78253	27924
737	78353	27816
738	78452	27707
739	78552	27599
740	78650	27490
741	78755	27384
742	78856	27276
743	78960	27169
744	79060	27060
745	79162	26953
746	79262	26845
747	79363	26737
748	79463	26629
749	79564	26521
750	79664	26413
751	79767	26306
752	79870	26199
753	79972	26091
754	80072	25983
755	80171	25875
756	80265	25765
757	80360	25656
758	80460	25548
759	80557	25439
760	80657	25331
761	80763	25225
762	80867	25118
763	80967	25010
764	81074	24905
765	81170	24796
766	81269	24688
767	81362	24578
768	81556	24498
769	81709	24406
770	81810	24298
771	81914	24192
772	82016	24085
773	82121	23978
774	82219	23870
775	82316	23761
776	82412	23652
777	82515	23545
778	82615	23437
779	82717	23330
780	82816	23222
781	82922	23116
782	83019	23008
783	83160	22911
784	83285	22810
785	83386	22703
786	83486	22595
787	83586	22487
788	83688	22380
789	83788	22272
790	83892	22166
791	83995	22059
792	84094	21951
793	84249	21858
794	84409	21765
795	84526	21662
796	84628	21555
797	84731	21448
798	84828	21339
799	84933	21233
800	85036	21126
801	85142	21020
802	85239	20911
803	85333	20802
804	85431	20694
805	85632	20611
806	85788	20516
807	85938	20421
808	86034	20312
809	86129	20203
810	86225	20094
811	86327	19987
812	86427	19879
813	86532	19772
814	86636	19665
815	86738	19558
816	86922	19469
817	87037	19365
818	87134	19256
819	87232	19148
820	87334	19041
821	87438	18934
822	87541	18827
823	87642	18719
824	87742	18612
825	87840	18503
826	87943	18396
827	88041	18288
828	88136	18180
829	88233	18071
830	88332	17964
831	88436	17857
832	88543	17751
833	88658	17646
834	88777	17542
835	88877	17435
836	88975	17327
837	89076	17219
838	89174	17112
839	89275	17004
840	89382	16898
841	89487	16792
842	89588	16684
843	89683	16576
844	89784	16469
845	89882	16361
846	89984	16254
847	90088	16147
848	90187	16040
849	90288	15933
850	90391	15826
851	90491	15719
852	90589	15611
853	90691	15504
854	90793	15397
855	90988	15306
856	91137	15207
857	91236	15099
858	91338	14992
859	91438	14885
860	91542	14778
861	91646	14672
862	91770	14568
863	91891	14464
864	92010	14360
865	92103	14251
866	92293	14158
867	92419	14054
868	92537	13949
869	92651	13844
870	92765	13739
871	92865	13631
872	92965	13524
873	93065	13416
874	93166	13309
875	93275	13203
876	93379	13096
877	93481	12989
878	93585	12882
879	93686	12775
880	93791	12668
881	93890	12561
882	93991	12454
883	94089	12346
884	94191	12239
885	94298	12133
886	94410	12027
887	94512	11920
888	94608	11812
889	94711	11705
890	94816	11599
891	94915	11492
892	95017	11385
893	95113	11277
894	95213	11170
895	95310	11062
896	95415	10956
897	95524	10850
898	95624	10743
899	95727	10636
900	95830	10529
901	95931	10422
902	96027	10315
903	96119	10207
904	96218	10100
905	96316	9993
906	96415	9886
907	96516	9779
908	96618	9672
909	96715	9565
910	96817	9458
911	96918	9351
912	97014	9244
913	97114	9137
914	97218	9031
915	97319	8924
916	97422	8817
917	97526	8711
918	97692	8610
919	97807	8504
920	97919	8399
921	98033	8293
922	98162	8189
923	98258	8081
924	98353	7974
925	98451	7867
926	98552	7760
927	98658	7654
928	98759	7547
929	98856	7440
930	98967	7334
931	99064	7227
932	99161	7120
933	99261	7014
934	99360	6907
935	99464	6800
936	99566	6694
937	99667	6587
938	99769	6481
939	99872	6374
940	99977	6268
941	100087	6162
942	100197	6056
943	100300	5950
944	100403	5843
945	100506	5737
946	100611	5630
947	100715	5524
948	100820	5418
949	100924	5311
950	101020	5205
951	101117	5098
952	101216	4991
953	101321	4885
954	101423	4779
955	101531	4672
956	101634	4566
957	101733	4460
958	101834	4353
959	101935	4247
960	102029	4140
961	102125	4034
962	102223	3927
963	102325	3821
964	102428	3715
965	102525	3608
966	102622	3502
967	102721	3395
968	102823	3289
969	102924	3183
970	103022	3076
971	103121	2970
972	103224	2864
973	103325	2758
974	103423	2651
975	103523	2545
976	103625	2439
977	103725	2333
978	103828	2227
979	103928	2120
980	104022	2014
981	104121	1908
982	104226	1802
983	104325	1696
984	104478	1591
985	104573	1484
986	104669	1378
987	104769	1272
988	104867	1166
989	104966	1060
990	105066	954
991	105169	848
992	105269	742
993	105368	636
994	105472	530
995	105576	424
996	105679	317
997	105787	211
998	105890	105
999	105996	0
