iter	Logloss
375	0.4546687074
376	0.454507191
377	0.4543269882
378	0.4542495578
379	0.4541420525
380	0.4540504009
381	0.4539534976
382	0.4538783818
383	0.453750659
384	0.4535994439
385	0.453525498
386	0.4534292141
387	0.4533291823
388	0.4531488725
389	0.453061525
390	0.4529638708
391	0.4526989451
392	0.4525604269
393	0.4524166765
394	0.4522944955
395	0.4521770498
396	0.4520910734
397	0.4519248303
398	0.4517895073
399	0.4515717858
400	0.4514807189
401	0.4513280628
402	0.4512009813
403	0.4510814023
404	0.4509087895
405	0.4506839163
406	0.4505777557
407	0.4505098474
408	0.4503267136
409	0.4502513023
410	0.4501449059
411	0.4500280063
412	0.449923895
413	0.4498410491
414	0.449660419
415	0.4495434234
416	0.4493799126
417	0.4491643988
418	0.449106146
419	0.4489367374
420	0.4487240292
421	0.4486190701
422	0.4485014046
423	0.4484207783
424	0.4483449775
425	0.4481811865
426	0.448091883
427	0.4479806869
428	0.4478037391
429	0.4476195098
430	0.447574988
431	0.4474815087
432	0.447417058
433	0.4472786191
434	0.4472260081
435	0.447047679
436	0.4469059556
437	0.4467725219
438	0.4465668446
439	0.4463978181
440	0.4461863616
441	0.4461040686
442	0.4459522742
443	0.4458556305
444	0.4457007675
445	0.4455642354
446	0.4454055171
447	0.4452874391
448	0.4452096774
449	0.4450816519
450	0.4450000409
451	0.4448034337
452	0.4446962168
453	0.4445175649
454	0.4444517118
455	0.4442600806
456	0.4441282438
457	0.4439576939
458	0.4438058263
459	0.4436496227
460	0.4433996862
461	0.4432996176
462	0.443243093
463	0.4431069766
464	0.4430183895
465	0.442803372
466	0.4425741843
467	0.4424188522
468	0.4422604282
469	0.4421414627
470	0.4420324899
471	0.4418969963
472	0.4417897886
473	0.4416569433
474	0.4414949647
475	0.4413262641
476	0.4411934856
477	0.4410982715
478	0.4409776223
479	0.4407923278
480	0.4406393529
481	0.4404566368
482	0.4403646549
483	0.4402463854
484	0.4401421433
485	0.4400287659
486	0.4399716531
487	0.4398922313
488	0.4398001195
489	0.4396481237
490	0.4394813185
491	0.4393476841
492	0.4391939628
493	0.4390146882
494	0.4389154261
495	0.4387606275
496	0.4386526008
497	0.4384623838
498	0.4383772195
499	0.4381541688
500	0.4380944798
501	0.4379639454
502	0.4378231756
503	0.4377792403
504	0.4376481829
505	0.4375361594
506	0.4373887508
507	0.437209453
508	0.4370445028
509	0.4368146821
510	0.4366931166
511	0.4365792783
512	0.4365352449
513	0.436485569
514	0.4364167157
515	0.4362903605
516	0.4361986084
517	0.4361727756
518	0.4360152663
519	0.4359615475
520	0.4358823223
521	0.4357203761
522	0.4355553023
523	0.4354914382
524	0.4353611628
525	0.4352635749
526	0.4351314094
527	0.4350807537
528	0.4349843368
529	0.434842452
530	0.434726006
531	0.4346117536
532	0.4344740907
533	0.434352617
534	0.4342205505
535	0.4339786616
536	0.4338459196
537	0.4337096137
538	0.4336259196
539	0.4335176808
540	0.4333522438
541	0.4332374979
542	0.4331821801
543	0.4330793761
544	0.4329938534
545	0.4328770202
546	0.4328172979
547	0.432712107
548	0.4325641531
549	0.4324628167
550	0.4323011101
551	0.4321480637
552	0.4320523011
553	0.4320039626
554	0.4318430902
555	0.4316783988
556	0.4316076202
557	0.4314693222
558	0.4312784428
559	0.4311840946
560	0.431066787
561	0.430940976
562	0.4307742028
563	0.4307103683
564	0.4306257288
565	0.4305097421
566	0.4303940776
567	0.4302857656
568	0.4301555489
569	0.4300683023
570	0.4299377642
571	0.4297976061
572	0.4297273491
573	0.4295937483
574	0.4294657564
575	0.4292927488
576	0.4292119567
577	0.4290587196
578	0.4288048355
579	0.4287071833
580	0.4285671573
581	0.4284717492
582	0.4283308269
583	0.4282236219
584	0.4281107025
585	0.4280422068
586	0.42800111
587	0.4279090657
588	0.4277606276
589	0.4276762477
590	0.4275804252
591	0.4274711689
592	0.4274072045
593	0.4272954896
594	0.4272450633
595	0.4271013837
596	0.426965764
597	0.4268999104
598	0.426770828
599	0.4266373609
600	0.4264588122
601	0.426368197
602	0.4263244903
603	0.4262404362
604	0.4260829252
605	0.4259640343
606	0.4258025144
607	0.4256338529
608	0.4255054056
609	0.425481922
610	0.4253401844
611	0.4252633066
612	0.4251871441
613	0.4250174374
614	0.4248432006
615	0.4246691601
616	0.4245301825
617	0.4244710488
618	0.4243536251
619	0.4242451266
620	0.424129367
621	0.4239903469
622	0.423923907
623	0.4238024478
624	0.4237427912
625	0.4236301964
626	0.4235373353
627	0.423507817
628	0.423476375
629	0.4233659337
630	0.4232965251
631	0.4232163505
632	0.4231269148
633	0.423022038
634	0.4229088218
635	0.4227743433
636	0.422650559
637	0.4225502316
638	0.4224740381
639	0.4223240627
640	0.4222657424
641	0.4221182477
642	0.4220776716
643	0.4219930625
644	0.4218910371
645	0.421862073
646	0.4217411281
647	0.4216244208
648	0.4215968593
649	0.4214625116
650	0.4213911443
651	0.4212916937
652	0.4211656959
653	0.4210926332
654	0.4210643867
655	0.4209689798
656	0.4207369277
657	0.4206465812
658	0.4204864959
659	0.4203834593
660	0.4202685163
661	0.4202231457
662	0.4201441484
663	0.4200118282
664	0.4199209894
665	0.4198190953
666	0.4197513828
667	0.419592778
668	0.4194960378
669	0.419448156
670	0.4193097301
671	0.4192088428
672	0.4190919164
673	0.4190717913
674	0.4189587741
675	0.4189360072
676	0.4189106633
677	0.4188919408
678	0.4187556636
679	0.4186665513
680	0.4185636137
681	0.4185164497
682	0.4184871269
683	0.4183925033
684	0.4183241226
685	0.4182164185
686	0.4181244058
687	0.4180867004
688	0.4178910331
689	0.4178650372
690	0.4177582899
691	0.4176777912
692	0.417581244
693	0.4174257257
694	0.4173130343
695	0.4172845597
696	0.4171686059
697	0.4170805074
698	0.4170532396
699	0.4170085869
700	0.4169822975
701	0.4168625704
702	0.4167468765
703	0.4166617133
704	0.4166240731
705	0.4165947177
706	0.4164996725
707	0.416403648
708	0.4162927855
709	0.4161312474
710	0.4160067495
711	0.4159233788
712	0.4157596774
713	0.415659168
714	0.415542623
715	0.4154679621
716	0.4153849179
717	0.4153072275
718	0.4152186372
719	0.4150980836
720	0.414987414
721	0.4149682679
722	0.4148984011
723	0.4147519417
724	0.4146632124
725	0.4145586945
726	0.4144621779
727	0.414347265
728	0.4142701573
729	0.4141803902
730	0.4141595154
731	0.4140530189
732	0.4139359365
733	0.4139209978
734	0.4138659416
735	0.4137453866
736	0.4136360906
737	0.4136003095
738	0.4135769881
739	0.4135444354
740	0.4134658289
741	0.4133147772
742	0.4132169264
743	0.4131216186
744	0.4130919047
745	0.4129959447
746	0.4129034095
747	0.4127812478
748	0.4127446513
749	0.4126968999
750	0.4126702193
751	0.4125999617
752	0.4125831311
753	0.412464796
754	0.4123993986
755	0.4122835005
756	0.412195403
757	0.4120952177
758	0.4119671612
759	0.411881446
760	0.4118574721
761	0.411783073
762	0.4116721751
763	0.4115571276
764	0.4114061728
765	0.4113839605
766	0.41128575
767	0.4111865929
768	0.4111007774
769	0.4110351525
770	0.4109088312
771	0.4108861622
772	0.4108664287
773	0.4107502453
774	0.4106978612
775	0.4106628337
776	0.4106141351
777	0.4105004038
778	0.4104120109
779	0.4103517345
780	0.4102405736
781	0.4101372709
782	0.4100773859
783	0.4099426436
784	0.4098517071
785	0.4098136107
786	0.4097181404
787	0.4096509829
788	0.409547846
789	0.409486068
790	0.4094009022
791	0.40927849
792	0.4091926719
793	0.4091181388
794	0.4089991514
795	0.4089789614
796	0.4088626837
797	0.4088297402
798	0.408682963
799	0.4085560164
800	0.4084444024
801	0.4083357448
802	0.4082623199
803	0.4081751346
804	0.4081414737
805	0.4080226179
806	0.4079071872
807	0.407779914
808	0.407757408
809	0.4076935443
810	0.4076551537
811	0.4076334621
812	0.4076193713
813	0.4075035113
814	0.4074152522
815	0.4072857607
816	0.4072518387
817	0.4071069173
818	0.4070630802
819	0.4069282762
820	0.4068358387
821	0.4068096139
822	0.406718874
823	0.4066175661
824	0.4064698727
825	0.4063908397
826	0.406370878
827	0.4062948796
828	0.4061739197
829	0.4060763936
830	0.405966474
831	0.4059410994
832	0.4059183325
833	0.4058467074
834	0.4057540087
835	0.4057255666
836	0.4056134952
837	0.4055494979
838	0.4054599313
839	0.4054393173
840	0.4053662845
841	0.405266446
842	0.4052424399
843	0.405089008
844	0.4050637952
845	0.4049965713
846	0.4049592574
847	0.4048665604
848	0.4047336138
849	0.4046328284
850	0.4044936209
851	0.4043737863
852	0.4043617176
853	0.4042394019
854	0.4041294817
855	0.404032249
856	0.4039531534
857	0.4038799603
858	0.4037913097
859	0.4037635846
860	0.4036392507
861	0.4035507927
862	0.403458714
863	0.4033698973
864	0.4032205768
865	0.4031261504
866	0.4030402036
867	0.402953052
868	0.4028744445
869	0.402842023
870	0.4027623045
871	0.4026974958
872	0.402603558
873	0.4025131722
874	0.4024153218
875	0.4022812431
876	0.4022028637
877	0.4020873629
878	0.4019772775
879	0.4019148039
880	0.4018313045
881	0.4018105274
882	0.4017093134
883	0.4015877164
884	0.4014513129
885	0.4013970391
886	0.4013071809
887	0.4012669313
888	0.4011788339
889	0.4010932767
890	0.4009899121
891	0.4009742559
892	0.4009548486
893	0.4008537017
894	0.4007545774
895	0.4007168393
896	0.4006286753
897	0.4005325837
898	0.4004354869
899	0.4003425942
900	0.4002582134
901	0.4001727162
902	0.4001171368
903	0.4000698749
904	0.3999891811
905	0.3998819685
906	0.3998497427
907	0.3997771097
908	0.3996947569
909	0.3995555451
910	0.3994270964
911	0.3993473794
912	0.3992667157
913	0.3992087501
914	0.3990595254
915	0.398933916
916	0.3988388368
917	0.3987969891
918	0.3987480313
919	0.398718056
920	0.3986796951
921	0.3985692519
922	0.398441457
923	0.3983509118
924	0.3982757819
925	0.3981640344
926	0.3980868298
927	0.3979916203
928	0.3979016347
929	0.3978034248
930	0.3977833653
931	0.397747779
932	0.397655438
933	0.3975853438
934	0.3975399082
935	0.3974061116
936	0.39728983
937	0.3972267121
938	0.3971842463
939	0.3971191095
940	0.3969987929
941	0.3968766135
942	0.3967605954
943	0.3966464688
944	0.3965739279
945	0.3964800236
946	0.3964625407
947	0.3964039275
948	0.396279982
949	0.396240744
950	0.3961548645
951	0.3960879664
952	0.3959845049
953	0.3959583128
954	0.3959251067
955	0.3958301256
956	0.3956507936
957	0.3956179478
958	0.3955117143
959	0.3954396959
960	0.3953923352
961	0.3953222073
962	0.3952281061
963	0.3951209936
964	0.3950223918
965	0.3949485141
966	0.3949098299
967	0.3947908075
968	0.3946937036
969	0.394604921
970	0.3944897421
971	0.3944242472
972	0.3943194127
973	0.3942282794
974	0.3941251096
975	0.3941084745
976	0.3940600379
977	0.3940119923
978	0.393921992
979	0.3938609336
980	0.3937868256
981	0.3936981384
982	0.3936187805
983	0.3935914146
984	0.3935113395
985	0.3934426806
986	0.3933426422
987	0.3932647509
988	0.3931210374
989	0.3931027715
990	0.3929799998
991	0.3928890296
992	0.3928216748
993	0.3927517716
994	0.3926628252
995	0.3925522821
996	0.3924413515
997	0.3923255602
998	0.3922818206
999	0.3921719026
